Period,Transaction cost (%),Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2015-2019,0.5,IWM,-2.0,1,40,-0.42,0.04,-0.46,42.5,1.69,-3.78,0.81,-1.33,-0.344
2015-2019,0.5,IWM,-2.0,3,40,-0.38,0.11,-0.49,50.0,5.29,-6.56,1.57,-2.32,-0.212
2015-2019,0.5,IWM,-2.0,5,40,-0.08,0.19,-0.27,47.5,4.56,-8.63,2.29,-2.22,-0.122
2015-2019,0.0,IWM,-2.5,1,24,0.05,0.04,0.01,58.33,2.17,-3.28,1.07,-1.38,0.01
2015-2019,0.0,IWM,-2.5,3,24,0.48,0.11,0.36,66.67,5.79,-5.76,1.83,-2.23,0.161
2015-2019,0.0,IWM,-2.5,5,24,1.4,0.19,1.21,79.17,5.06,-3.69,2.3,-2.01,0.6
2015-2019,0.1,IWM,-2.5,1,24,-0.05,0.04,-0.09,54.17,2.07,-3.38,1.05,-1.35,-0.064
2015-2019,0.1,IWM,-2.5,3,24,0.38,0.11,0.26,62.5,5.69,-5.86,1.85,-2.08,0.125
2015-2019,0.1,IWM,-2.5,5,24,1.3,0.19,1.11,75.0,4.96,-3.79,2.32,-1.76,0.629
2015-2019,0.25,IWM,-2.5,1,24,-0.2,0.04,-0.24,54.17,1.92,-3.53,0.9,-1.5,-0.158
2015-2019,0.25,IWM,-2.5,3,24,0.23,0.11,0.11,62.5,5.54,-6.01,1.7,-2.23,0.05
2015-2019,0.25,IWM,-2.5,5,24,1.15,0.19,0.96,66.67,4.81,-3.94,2.45,-1.46,0.654
2015-2019,0.5,IWM,-2.5,1,24,-0.45,0.04,-0.49,41.67,1.67,-3.78,0.87,-1.39,-0.35
2015-2019,0.5,IWM,-2.5,3,24,-0.02,0.11,-0.14,54.17,5.29,-6.26,1.68,-2.04,-0.068
2015-2019,0.5,IWM,-2.5,5,24,0.9,0.19,0.71,62.5,4.56,-4.19,2.35,-1.53,0.463
2015-2019,0.0,IWM,-3.0,1,12,0.59,0.04,0.56,75.0,2.17,-3.28,1.27,-1.42,0.392
2015-2019,0.0,IWM,-3.0,3,12,0.92,0.11,0.8,66.67,5.79,-2.66,2.18,-1.62,0.495
2015-2019,0.0,IWM,-3.0,5,12,1.41,0.19,1.22,83.33,4.6,-1.83,2.02,-1.63,0.748
2015-2019,0.1,IWM,-3.0,1,12,0.49,0.04,0.46,75.0,2.07,-3.38,1.17,-1.52,0.3
2015-2019,0.1,IWM,-3.0,3,12,0.82,0.11,0.7,66.67,5.69,-2.76,2.08,-1.72,0.408
2015-2019,0.1,IWM,-3.0,5,12,1.31,0.19,1.12,75.0,4.5,-1.93,2.13,-1.15,0.97
2015-2019,0.25,IWM,-3.0,1,12,0.34,0.04,0.31,75.0,1.92,-3.53,1.02,-1.67,0.184
2015-2019,0.25,IWM,-3.0,3,12,0.67,0.11,0.55,66.67,5.54,-2.91,1.93,-1.87,0.295
2015-2019,0.25,IWM,-3.0,5,12,1.16,0.19,0.97,66.67,4.35,-2.08,2.24,-1.0,0.969
2015-2019,0.5,IWM,-3.0,1,12,0.09,0.04,0.06,66.67,1.67,-3.78,0.87,-1.46,0.04
2015-2019,0.5,IWM,-3.0,3,12,0.42,0.11,0.3,50.0,5.29,-3.16,2.25,-1.42,0.211
2015-2019,0.5,IWM,-3.0,5,12,0.91,0.19,0.72,58.33,4.1,-2.33,2.28,-1.01,0.711
2015-2019,0.0,DIA,-1.0,1,111,0.14,0.05,0.09,63.06,4.86,-4.57,0.97,-1.28,0.07
2015-2019,0.0,DIA,-1.0,3,111,0.4,0.15,0.24,60.36,6.29,-7.77,1.77,-1.69,0.143
2015-2019,0.0,DIA,-1.0,5,111,0.65,0.25,0.4,65.77,7.0,-7.5,2.04,-2.02,0.198
2015-2019,0.1,DIA,-1.0,1,111,0.04,0.05,-0.01,55.86,4.76,-4.67,0.99,-1.16,-0.009
2015-2019,0.1,DIA,-1.0,3,111,0.3,0.15,0.14,57.66,6.19,-7.87,1.74,-1.68,0.085
2015-2019,0.1,DIA,-1.0,5,111,0.55,0.25,0.3,63.96,6.9,-7.6,2.0,-2.01,0.149
2015-2019,0.25,DIA,-1.0,1,111,-0.11,0.05,-0.16,49.55,4.61,-4.82,0.95,-1.16,-0.139
2015-2019,0.25,DIA,-1.0,3,111,0.15,0.15,-0.01,54.95,6.04,-8.02,1.68,-1.72,-0.005
2015-2019,0.25,DIA,-1.0,5,111,0.4,0.25,0.15,60.36,6.75,-7.75,1.96,-1.97,0.076
2015-2019,0.5,DIA,-1.0,1,111,-0.36,0.05,-0.41,39.64,4.36,-5.07,0.92,-1.2,-0.342
2015-2019,0.5,DIA,-1.0,3,111,-0.1,0.15,-0.26,46.85,5.79,-8.27,1.7,-1.69,-0.152
2015-2019,0.5,DIA,-1.0,5,111,0.15,0.25,-0.1,55.86,6.5,-8.0,1.86,-2.01,-0.05
2015-2019,0.0,DIA,-1.5,1,58,0.15,0.05,0.1,65.52,4.86,-4.57,1.11,-1.66,0.063
2015-2019,0.0,DIA,-1.5,3,58,0.52,0.15,0.37,63.79,5.68,-7.77,1.96,-2.02,0.183
2015-2019,0.0,DIA,-1.5,5,58,0.79,0.25,0.54,67.24,7.0,-7.5,2.18,-2.05,0.263
2015-2019,0.1,DIA,-1.5,1,58,0.05,0.05,0.0,58.62,4.76,-4.67,1.13,-1.47,0.003
2015-2019,0.1,DIA,-1.5,3,58,0.42,0.15,0.27,63.79,5.58,-7.87,1.86,-2.12,0.127
2015-2019,0.1,DIA,-1.5,5,58,0.69,0.25,0.44,67.24,6.9,-7.6,2.08,-2.15,0.204
