Period,Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2010-2024,XLF,-3.0,5,76,0.33,0.26,0.07,52.63,21.23,-22.99,4.59,-4.4,0.016
2010-2024,XLE,-1.0,1,774,0.03,0.04,-0.01,51.81,16.04,-20.14,1.47,-1.51,-0.005
2010-2024,XLE,-1.0,3,774,0.15,0.11,0.04,53.88,28.94,-21.05,2.64,-2.75,0.015
2010-2024,XLE,-1.0,5,774,0.33,0.19,0.14,54.39,23.9,-34.55,3.38,-3.3,0.044
2010-2024,XLE,-1.5,1,507,0.05,0.04,0.01,51.68,16.04,-20.14,1.61,-1.61,0.008
2010-2024,XLE,-1.5,3,507,0.23,0.11,0.12,55.62,28.94,-21.05,2.83,-3.02,0.041
2010-2024,XLE,-1.5,5,507,0.4,0.19,0.21,54.44,23.9,-34.55,3.75,-3.59,0.06
2010-2024,XLE,-2.0,1,320,-0.0,0.04,-0.04,49.38,16.04,-20.14,1.8,-1.76,-0.024
2010-2024,XLE,-2.0,3,320,0.17,0.11,0.06,54.06,28.94,-21.05,3.19,-3.37,0.018
2010-2024,XLE,-2.0,5,320,0.44,0.19,0.25,53.44,23.9,-34.55,4.22,-3.9,0.065
2010-2024,XLE,-2.5,1,197,0.04,0.04,-0.0,52.28,16.04,-20.14,2.03,-2.15,-0.001
2010-2024,XLE,-2.5,3,197,0.26,0.11,0.15,56.35,28.94,-21.05,3.5,-3.92,0.039
2010-2024,XLE,-2.5,5,197,0.75,0.19,0.56,57.87,23.9,-34.55,4.77,-4.78,0.117
2010-2024,XLE,-3.0,1,135,0.18,0.04,0.14,57.04,16.04,-20.14,2.25,-2.58,0.054
2010-2024,XLE,-3.0,3,135,0.45,0.11,0.34,60.0,28.94,-21.05,3.82,-4.6,0.074
2010-2024,XLE,-3.0,5,135,0.98,0.19,0.79,62.96,23.9,-34.55,5.15,-6.1,0.13
2010-2024,XLV,-1.0,1,422,0.11,0.05,0.06,53.79,7.71,-7.47,1.07,-1.01,0.059
2010-2024,XLV,-1.0,3,422,0.24,0.15,0.08,56.16,16.39,-10.81,1.74,-1.69,0.05
2010-2024,XLV,-1.0,5,422,0.45,0.25,0.2,63.98,19.23,-13.2,2.01,-2.33,0.085
2010-2024,XLV,-1.5,1,204,0.13,0.05,0.08,54.9,7.71,-7.47,1.24,-1.22,0.063
2010-2024,XLV,-1.5,3,204,0.13,0.15,-0.02,52.45,16.39,-10.81,1.98,-1.91,-0.011
2010-2024,XLV,-1.5,5,204,0.44,0.25,0.18,61.76,19.23,-13.2,2.32,-2.6,0.071
2010-2024,XLV,-2.0,1,102,0.35,0.05,0.3,59.8,7.71,-7.47,1.66,-1.6,0.187
2010-2024,XLV,-2.0,3,102,0.39,0.15,0.24,59.8,16.39,-10.81,2.4,-2.61,0.09
2010-2024,XLV,-2.0,5,102,0.79,0.25,0.54,64.71,19.23,-13.2,2.84,-2.98,0.18
2010-2024,XLV,-2.5,1,58,0.28,0.05,0.23,56.9,7.71,-7.47,1.78,-1.71,0.132
2010-2024,XLV,-2.5,3,58,0.7,0.15,0.55,65.52,16.39,-10.81,2.63,-2.97,0.183
2010-2024,XLV,-2.5,5,58,1.37,0.25,1.12,68.97,19.23,-11.27,3.43,-3.19,0.352
2010-2024,XLV,-3.0,1,32,0.54,0.05,0.49,59.38,7.71,-7.47,2.45,-2.25,0.217
2010-2024,XLV,-3.0,3,32,0.58,0.15,0.42,62.5,16.39,-10.81,3.54,-4.36,0.097
2010-2024,XLV,-3.0,5,32,1.43,0.25,1.18,62.5,19.23,-11.27,4.83,-4.23,0.279
