Period,Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2020-2024,XLI,Sector,Expanded Addition,-1.0,5,208,0.41,0.27,0.14,54.81,22.51,-20.13,3.12,-2.9,0.048
2020-2024,XLI,Sector,Expanded Addition,-1.5,1,109,0.04,0.05,-0.01,47.71,12.65,-10.35,1.78,-1.54,-0.007
2020-2024,XLI,Sector,Expanded Addition,-1.5,3,109,0.17,0.16,0.01,49.54,26.06,-14.31,3.3,-2.9,0.004
2020-2024,XLI,Sector,Expanded Addition,-1.5,5,109,0.35,0.27,0.07,55.05,22.51,-20.13,3.63,-3.67,0.02
2020-2024,XLI,Sector,Expanded Addition,-2.0,1,63,0.11,0.05,0.05,49.21,12.65,-10.35,2.07,-1.79,0.031
2020-2024,XLI,Sector,Expanded Addition,-2.0,3,63,-0.17,0.16,-0.33,39.68,26.06,-14.31,4.42,-3.19,-0.104
2020-2024,XLI,Sector,Expanded Addition,-2.0,5,63,0.19,0.27,-0.08,55.56,22.51,-20.13,4.25,-4.89,-0.017
2020-2024,XLI,Sector,Expanded Addition,-2.5,1,37,0.08,0.05,0.02,43.24,12.65,-10.35,2.64,-1.87,0.012
2020-2024,XLI,Sector,Expanded Addition,-2.5,3,37,-0.49,0.16,-0.66,35.14,26.06,-14.31,5.73,-3.86,-0.17
2020-2024,XLI,Sector,Expanded Addition,-2.5,5,37,-0.34,0.27,-0.62,51.35,22.51,-20.13,5.16,-6.15,-0.1
2020-2024,XLI,Sector,Expanded Addition,-3.0,1,22,0.78,0.05,0.72,50.0,12.65,-10.35,3.51,-1.96,0.37
2020-2024,XLI,Sector,Expanded Addition,-3.0,3,22,-0.34,0.16,-0.5,31.82,26.06,-14.31,8.41,-4.42,-0.114
2020-2024,XLI,Sector,Expanded Addition,-3.0,5,22,-0.63,0.27,-0.9,50.0,22.51,-20.13,6.99,-8.25,-0.109
2020-2024,XLY,Sector,Expanded Addition,-1.0,1,252,0.05,0.06,-0.01,54.37,8.32,-10.11,1.39,-1.53,-0.005
2020-2024,XLY,Sector,Expanded Addition,-1.0,3,252,0.15,0.19,-0.04,52.38,13.4,-16.64,2.57,-2.56,-0.016
2020-2024,XLY,Sector,Expanded Addition,-1.0,5,252,0.21,0.32,-0.11,53.97,15.41,-18.4,3.32,-3.49,-0.032
2020-2024,XLY,Sector,Expanded Addition,-1.5,1,176,0.13,0.06,0.07,55.11,8.32,-10.11,1.54,-1.6,0.041
2020-2024,XLY,Sector,Expanded Addition,-1.5,3,176,0.22,0.19,0.03,52.84,13.4,-16.64,2.96,-2.93,0.01
2020-2024,XLY,Sector,Expanded Addition,-1.5,5,176,0.21,0.32,-0.11,51.7,15.41,-18.4,4.03,-3.98,-0.029
2020-2024,XLY,Sector,Expanded Addition,-2.0,1,101,0.12,0.06,0.05,54.46,7.31,-10.11,1.52,-1.57,0.034
2020-2024,XLY,Sector,Expanded Addition,-2.0,3,101,-0.07,0.19,-0.26,51.49,11.57,-16.64,2.86,-3.19,-0.083
2020-2024,XLY,Sector,Expanded Addition,-2.0,5,101,-0.05,0.32,-0.37,47.52,12.2,-18.4,4.12,-3.82,-0.097
2020-2024,XLY,Sector,Expanded Addition,-2.5,1,65,0.37,0.06,0.31,58.46,7.31,-10.11,1.69,-1.48,0.211
2020-2024,XLY,Sector,Expanded Addition,-2.5,3,65,0.11,0.19,-0.08,50.77,11.57,-16.64,3.25,-3.13,-0.025
2020-2024,XLY,Sector,Expanded Addition,-2.5,5,65,-0.23,0.32,-0.55,41.54,12.2,-18.4,4.77,-3.78,-0.146
2020-2024,XLY,Sector,Expanded Addition,-3.0,1,44,0.48,0.06,0.42,59.09,7.31,-10.11,1.95,-1.65,0.253
2020-2024,XLY,Sector,Expanded Addition,-3.0,3,44,-0.1,0.19,-0.29,52.27,9.66,-16.64,3.01,-3.5,-0.082
2020-2024,XLY,Sector,Expanded Addition,-3.0,5,44,-0.54,0.32,-0.86,43.18,11.94,-18.4,4.71,-4.53,-0.19
2020-2024,XLP,Sector,Expanded Addition,-1.0,1,122,0.2,0.03,0.16,54.1,8.51,-9.4,1.26,-1.05,0.157
2020-2024,XLP,Sector,Expanded Addition,-1.0,3,122,0.23,0.1,0.13,60.66,10.55,-12.27,1.74,-2.14,0.061
2020-2024,XLP,Sector,Expanded Addition,-1.0,5,122,0.42,0.17,0.25,59.02,14.33,-15.9,2.27,-2.31,0.107
2020-2024,XLP,Sector,Expanded Addition,-1.5,1,60,0.15,0.03,0.12,55.0,8.51,-9.4,1.64,-1.67,0.072
2020-2024,XLP,Sector,Expanded Addition,-1.5,3,60,0.05,0.1,-0.05,60.0,10.55,-12.27,2.23,-3.23,-0.017
2020-2024,XLP,Sector,Expanded Addition,-1.5,5,60,0.37,0.17,0.2,60.0,14.33,-15.9,2.89,-3.4,0.06
2020-2024,XLP,Sector,Expanded Addition,-2.0,1,25,-0.14,0.03,-0.18,40.0,8.51,-9.4,3.0,-2.24,-0.079
2020-2024,XLP,Sector,Expanded Addition,-2.0,3,25,-0.34,0.1,-0.44,64.0,10.55,-12.27,2.5,-5.41,-0.082
2020-2024,XLP,Sector,Expanded Addition,-2.0,5,25,0.86,0.17,0.69,68.0,14.33,-10.35,3.41,-4.55,0.152
2020-2024,XLP,Sector,Expanded Addition,-2.5,1,17,-0.18,0.03,-0.22,35.29,8.51,-9.4,4.27,-2.61,-0.084
2020-2024,XLP,Sector,Expanded Addition,-2.5,3,17,-0.34,0.1,-0.44,64.71,10.55,-12.27,2.99,-6.45,-0.068
2020-2024,XLP,Sector,Expanded Addition,-2.5,5,17,0.77,0.17,0.6,64.71,14.33,-10.35,3.97,-5.1,0.118
2020-2024,XLP,Sector,Expanded Addition,-3.0,1,10,-0.28,0.03,-0.31,40.0,8.51,-9.4,4.96,-3.77,-0.083
2020-2024,XLP,Sector,Expanded Addition,-3.0,3,10,-0.64,0.1,-0.74,60.0,9.68,-11.37,3.1,-6.24,-0.119
2020-2024,XLP,Sector,Expanded Addition,-3.0,5,10,-0.09,0.17,-0.25,60.0,6.78,-10.35,3.42,-5.34,-0.048
2020-2024,XLU,Sector,Expanded Addition,-1.0,1,223,0.2,0.04,0.16,55.61,12.79,-10.09,1.44,-1.36,0.119
2020-2024,XLU,Sector,Expanded Addition,-1.0,3,223,0.12,0.11,0.01,54.26,23.26,-17.72,2.26,-2.42,0.003
2020-2024,XLU,Sector,Expanded Addition,-1.0,5,223,0.26,0.18,0.07,57.4,28.51,-19.45,2.76,-3.12,0.024
2020-2024,XLU,Sector,Expanded Addition,-1.5,1,118,0.15,0.04,0.11,56.78,12.79,-10.09,1.58,-1.74,0.063
2020-2024,XLU,Sector,Expanded Addition,-1.5,3,118,-0.1,0.11,-0.21,49.15,23.26,-17.72,2.85,-2.95,-0.071
2020-2024,XLU,Sector,Expanded Addition,-1.5,5,118,0.11,0.18,-0.07,55.08,28.51,-19.45,3.27,-3.77,-0.02
2020-2024,XLU,Sector,Expanded Addition,-2.0,1,65,0.11,0.04,0.07,56.92,12.79,-10.09,1.99,-2.38,0.031
2020-2024,XLU,Sector,Expanded Addition,-2.0,3,65,-0.34,0.11,-0.45,44.62,23.26,-17.72,3.57,-3.49,-0.128
2020-2024,XLU,Sector,Expanded Addition,-2.0,5,65,0.12,0.18,-0.07,50.77,28.51,-19.45,4.13,-4.02,-0.016
2020-2024,XLU,Sector,Expanded Addition,-2.5,1,37,0.36,0.04,0.32,62.16,12.79,-10.09,2.73,-3.55,0.09
2020-2024,XLU,Sector,Expanded Addition,-2.5,3,37,0.48,0.11,0.37,56.76,23.26,-17.72,4.44,-4.73,0.077
2020-2024,XLU,Sector,Expanded Addition,-2.5,5,37,1.23,0.18,1.05,62.16,28.51,-19.45,5.27,-5.39,0.195
2020-2024,XLU,Sector,Expanded Addition,-3.0,1,24,0.33,0.04,0.3,54.17,12.79,-10.09,4.21,-4.25,0.07
2020-2024,XLU,Sector,Expanded Addition,-3.0,3,24,0.59,0.11,0.48,58.33,23.26,-17.72,5.65,-6.49,0.075
2020-2024,XLU,Sector,Expanded Addition,-3.0,5,24,1.67,0.18,1.49,58.33,28.51,-19.45,7.29,-6.18,0.241
2020-2024,XLB,Sector,Expanded Addition,-1.0,1,245,0.01,0.05,-0.03,48.16,11.76,-9.63,1.51,-1.38,-0.024
2020-2024,XLB,Sector,Expanded Addition,-1.0,3,245,0.11,0.14,-0.03,53.47,19.74,-13.93,2.41,-2.55,-0.01
2020-2024,XLB,Sector,Expanded Addition,-1.0,5,245,0.3,0.23,0.06,54.29,19.09,-20.92,2.95,-2.89,0.021
2020-2024,XLB,Sector,Expanded Addition,-1.5,1,131,0.14,0.05,0.1,51.91,11.76,-9.63,1.78,-1.63,0.06
2020-2024,XLB,Sector,Expanded Addition,-1.5,3,131,0.19,0.14,0.05,57.25,19.74,-13.93,2.87,-3.4,0.016
2020-2024,XLB,Sector,Expanded Addition,-1.5,5,131,0.44,0.23,0.21,58.02,19.09,-20.92,3.49,-3.77,0.055
2020-2024,XLB,Sector,Expanded Addition,-2.0,1,75,0.08,0.05,0.03,49.33,11.76,-9.63,2.07,-1.86,0.016
2020-2024,XLB,Sector,Expanded Addition,-2.0,3,75,0.0,0.14,-0.14,56.0,19.74,-13.93,3.32,-4.23,-0.033
2020-2024,XLB,Sector,Expanded Addition,-2.0,5,75,0.11,0.23,-0.13,57.33,19.09,-20.92,3.91,-5.0,-0.025
2020-2024,XLB,Sector,Expanded Addition,-2.5,1,43,0.05,0.05,0.0,46.51,11.76,-9.63,2.63,-2.19,0.002
2020-2024,XLB,Sector,Expanded Addition,-2.5,3,43,-0.51,0.14,-0.65,51.16,19.74,-13.93,3.61,-4.83,-0.134
2020-2024,XLB,Sector,Expanded Addition,-2.5,5,43,-0.51,0.23,-0.74,55.81,19.09,-20.92,4.18,-6.43,-0.115
2020-2024,XLB,Sector,Expanded Addition,-3.0,1,28,0.48,0.05,0.43,42.86,11.76,-9.63,3.56,-1.84,0.235
2020-2024,XLB,Sector,Expanded Addition,-3.0,3,28,-0.62,0.14,-0.76,46.43,19.74,-13.93,4.32,-4.9,-0.155
2020-2024,XLB,Sector,Expanded Addition,-3.0,5,28,-0.75,0.23,-0.98,50.0,19.09,-20.92,5.22,-6.73,-0.146
2020-2024,XLRE,Sector,Expanded Addition,-1.0,1,232,-0.05,0.03,-0.08,49.57,8.78,-8.59,1.41,-1.48,-0.053
2020-2024,XLRE,Sector,Expanded Addition,-1.0,3,232,-0.11,0.09,-0.2,50.0,22.27,-16.47,2.29,-2.51,-0.079
2020-2024,XLRE,Sector,Expanded Addition,-1.0,5,232,0.11,0.15,-0.04,55.17,25.77,-17.63,2.86,-3.27,-0.013
2020-2024,XLRE,Sector,Expanded Addition,-1.5,1,137,-0.09,0.03,-0.12,45.99,8.78,-8.59,1.71,-1.62,-0.075
