Period,Transaction cost (%),Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2020-2024,0.5,IWM,Broad Index,Core,-1.0,5,281,-0.03,0.22,-0.25,50.89,15.1,-24.5,3.26,-3.46,-0.071
2020-2024,0.0,IWM,Broad Index,Core,-1.5,1,173,0.03,0.04,-0.01,52.6,7.66,-11.05,1.56,-1.66,-0.006
2020-2024,0.0,IWM,Broad Index,Core,-1.5,3,173,-0.04,0.13,-0.17,52.6,12.86,-17.68,2.76,-3.15,-0.054
2020-2024,0.0,IWM,Broad Index,Core,-1.5,5,173,0.26,0.22,0.05,56.07,15.05,-24.0,3.54,-3.92,0.012
2020-2024,0.1,IWM,Broad Index,Core,-1.5,1,173,-0.07,0.04,-0.11,50.87,7.56,-11.15,1.51,-1.7,-0.065
2020-2024,0.1,IWM,Broad Index,Core,-1.5,3,173,-0.14,0.13,-0.27,51.45,12.76,-17.78,2.72,-3.18,-0.085
2020-2024,0.1,IWM,Broad Index,Core,-1.5,5,173,0.16,0.22,-0.05,55.49,14.95,-24.1,3.48,-3.97,-0.014
2020-2024,0.25,IWM,Broad Index,Core,-1.5,1,173,-0.22,0.04,-0.26,47.98,7.41,-11.3,1.44,-1.75,-0.149
2020-2024,0.25,IWM,Broad Index,Core,-1.5,3,173,-0.29,0.13,-0.42,49.13,12.61,-17.93,2.69,-3.18,-0.133
2020-2024,0.25,IWM,Broad Index,Core,-1.5,5,173,0.01,0.22,-0.2,53.76,14.8,-24.25,3.44,-3.97,-0.051
2020-2024,0.5,IWM,Broad Index,Core,-1.5,1,173,-0.47,0.04,-0.51,42.2,7.16,-11.55,1.38,-1.81,-0.281
2020-2024,0.5,IWM,Broad Index,Core,-1.5,3,173,-0.54,0.13,-0.67,45.09,12.36,-18.18,2.67,-3.18,-0.211
2020-2024,0.5,IWM,Broad Index,Core,-1.5,5,173,-0.24,0.22,-0.45,50.87,14.55,-24.5,3.38,-3.98,-0.114
2020-2024,0.0,IWM,Broad Index,Core,-2.0,1,107,0.05,0.04,0.0,50.47,7.66,-11.05,1.75,-1.69,0.002
2020-2024,0.0,IWM,Broad Index,Core,-2.0,3,107,-0.02,0.13,-0.15,52.34,12.86,-17.68,3.18,-3.52,-0.042
2020-2024,0.0,IWM,Broad Index,Core,-2.0,5,107,-0.04,0.22,-0.26,52.34,15.05,-24.0,3.9,-4.36,-0.059
2020-2024,0.1,IWM,Broad Index,Core,-2.0,1,107,-0.05,0.04,-0.1,49.53,7.56,-11.15,1.68,-1.76,-0.055
2020-2024,0.1,IWM,Broad Index,Core,-2.0,3,107,-0.12,0.13,-0.25,51.4,12.76,-17.78,3.13,-3.55,-0.069
2020-2024,0.1,IWM,Broad Index,Core,-2.0,5,107,-0.14,0.22,-0.36,52.34,14.95,-24.1,3.8,-4.46,-0.08
2020-2024,0.25,IWM,Broad Index,Core,-2.0,1,107,-0.2,0.04,-0.25,45.79,7.41,-11.3,1.66,-1.78,-0.138
