Period,Ticker,Category,Universe,Drop threshold,Number of big drop days,Average 1-day return,Benchmark average 1-day return,Edge vs benchmark 1-day return,1-day win rate,Best 1-day return,Worst 1-day return,Average 1-day winning trade,Average 1-day losing trade,Average 3-day return,Benchmark average 3-day return,Edge vs benchmark 3-day return,3-day win rate,Best 3-day return,Worst 3-day return,Average 3-day winning trade,Average 3-day losing trade,Average 5-day return,Benchmark average 5-day return,Edge vs benchmark 5-day return,5-day win rate,Best 5-day return,Worst 5-day return,Average 5-day winning trade,Average 5-day losing trade
2020-2024,XLI,Sector,Expanded Addition,-2.0%,63,0.11%,0.05%,0.05%,49.21%,12.65%,-10.35%,2.07%,-1.79%,-0.17%,0.16%,-0.33%,39.68%,26.06%,-14.31%,4.42%,-3.19%,0.19%,0.27%,-0.08%,55.56%,22.51%,-20.13%,4.25%,-4.89%
2020-2024,XLI,Sector,Expanded Addition,-2.5%,37,0.08%,0.05%,0.02%,43.24%,12.65%,-10.35%,2.64%,-1.87%,-0.49%,0.16%,-0.66%,35.14%,26.06%,-14.31%,5.73%,-3.86%,-0.34%,0.27%,-0.62%,51.35%,22.51%,-20.13%,5.16%,-6.15%
2020-2024,XLI,Sector,Expanded Addition,-3.0%,22,0.78%,0.05%,0.72%,50.00%,12.65%,-10.35%,3.51%,-1.96%,-0.34%,0.16%,-0.50%,31.82%,26.06%,-14.31%,8.41%,-4.42%,-0.63%,0.27%,-0.90%,50.00%,22.51%,-20.13%,6.99%,-8.25%
2020-2024,XLY,Sector,Expanded Addition,-1.0%,252,0.05%,0.06%,-0.01%,54.37%,8.32%,-10.11%,1.39%,-1.53%,0.15%,0.19%,-0.04%,52.38%,13.40%,-16.64%,2.57%,-2.56%,0.21%,0.32%,-0.11%,53.97%,15.41%,-18.40%,3.32%,-3.49%
2020-2024,XLY,Sector,Expanded Addition,-1.5%,176,0.13%,0.06%,0.07%,55.11%,8.32%,-10.11%,1.54%,-1.60%,0.22%,0.19%,0.03%,52.84%,13.40%,-16.64%,2.96%,-2.93%,0.21%,0.32%,-0.11%,51.70%,15.41%,-18.40%,4.03%,-3.98%
2020-2024,XLY,Sector,Expanded Addition,-2.0%,101,0.12%,0.06%,0.05%,54.46%,7.31%,-10.11%,1.52%,-1.57%,-0.07%,0.19%,-0.26%,51.49%,11.57%,-16.64%,2.86%,-3.19%,-0.05%,0.32%,-0.37%,47.52%,12.20%,-18.40%,4.12%,-3.82%
2020-2024,XLY,Sector,Expanded Addition,-2.5%,65,0.37%,0.06%,0.31%,58.46%,7.31%,-10.11%,1.69%,-1.48%,0.11%,0.19%,-0.08%,50.77%,11.57%,-16.64%,3.25%,-3.13%,-0.23%,0.32%,-0.55%,41.54%,12.20%,-18.40%,4.77%,-3.78%
2020-2024,XLY,Sector,Expanded Addition,-3.0%,44,0.48%,0.06%,0.42%,59.09%,7.31%,-10.11%,1.95%,-1.65%,-0.10%,0.19%,-0.29%,52.27%,9.66%,-16.64%,3.01%,-3.50%,-0.54%,0.32%,-0.86%,43.18%,11.94%,-18.40%,4.71%,-4.53%
2020-2024,XLP,Sector,Expanded Addition,-1.0%,122,0.20%,0.03%,0.16%,54.10%,8.51%,-9.40%,1.26%,-1.05%,0.23%,0.10%,0.13%,60.66%,10.55%,-12.27%,1.74%,-2.14%,0.42%,0.17%,0.25%,59.02%,14.33%,-15.90%,2.27%,-2.31%
2020-2024,XLP,Sector,Expanded Addition,-1.5%,60,0.15%,0.03%,0.12%,55.00%,8.51%,-9.40%,1.64%,-1.67%,0.05%,0.10%,-0.05%,60.00%,10.55%,-12.27%,2.23%,-3.23%,0.37%,0.17%,0.20%,60.00%,14.33%,-15.90%,2.89%,-3.40%
2020-2024,XLP,Sector,Expanded Addition,-2.0%,25,-0.14%,0.03%,-0.18%,40.00%,8.51%,-9.40%,3.00%,-2.24%,-0.34%,0.10%,-0.44%,64.00%,10.55%,-12.27%,2.50%,-5.41%,0.86%,0.17%,0.69%,68.00%,14.33%,-10.35%,3.41%,-4.55%
2020-2024,XLP,Sector,Expanded Addition,-2.5%,17,-0.18%,0.03%,-0.22%,35.29%,8.51%,-9.40%,4.27%,-2.61%,-0.34%,0.10%,-0.44%,64.71%,10.55%,-12.27%,2.99%,-6.45%,0.77%,0.17%,0.60%,64.71%,14.33%,-10.35%,3.97%,-5.10%
2020-2024,XLP,Sector,Expanded Addition,-3.0%,10,-0.28%,0.03%,-0.31%,40.00%,8.51%,-9.40%,4.96%,-3.77%,-0.64%,0.10%,-0.74%,60.00%,9.68%,-11.37%,3.10%,-6.24%,-0.09%,0.17%,-0.25%,60.00%,6.78%,-10.35%,3.42%,-5.34%
2020-2024,XLU,Sector,Expanded Addition,-1.0%,223,0.20%,0.04%,0.16%,55.61%,12.79%,-10.09%,1.44%,-1.36%,0.12%,0.11%,0.01%,54.26%,23.26%,-17.72%,2.26%,-2.42%,0.26%,0.18%,0.07%,57.40%,28.51%,-19.45%,2.76%,-3.12%
2020-2024,XLU,Sector,Expanded Addition,-1.5%,118,0.15%,0.04%,0.11%,56.78%,12.79%,-10.09%,1.58%,-1.74%,-0.10%,0.11%,-0.21%,49.15%,23.26%,-17.72%,2.85%,-2.95%,0.11%,0.18%,-0.07%,55.08%,28.51%,-19.45%,3.27%,-3.77%
2020-2024,XLU,Sector,Expanded Addition,-2.0%,65,0.11%,0.04%,0.07%,56.92%,12.79%,-10.09%,1.99%,-2.38%,-0.34%,0.11%,-0.45%,44.62%,23.26%,-17.72%,3.57%,-3.49%,0.12%,0.18%,-0.07%,50.77%,28.51%,-19.45%,4.13%,-4.02%
2020-2024,XLU,Sector,Expanded Addition,-2.5%,37,0.36%,0.04%,0.32%,62.16%,12.79%,-10.09%,2.73%,-3.55%,0.48%,0.11%,0.37%,56.76%,23.26%,-17.72%,4.44%,-4.73%,1.23%,0.18%,1.05%,62.16%,28.51%,-19.45%,5.27%,-5.39%
2020-2024,XLU,Sector,Expanded Addition,-3.0%,24,0.33%,0.04%,0.30%,54.17%,12.79%,-10.09%,4.21%,-4.25%,0.59%,0.11%,0.48%,58.33%,23.26%,-17.72%,5.65%,-6.49%,1.67%,0.18%,1.49%,58.33%,28.51%,-19.45%,7.29%,-6.18%
2020-2024,XLB,Sector,Expanded Addition,-1.0%,245,0.01%,0.05%,-0.03%,48.16%,11.76%,-9.63%,1.51%,-1.38%,0.11%,0.14%,-0.03%,53.47%,19.74%,-13.93%,2.41%,-2.55%,0.30%,0.23%,0.06%,54.29%,19.09%,-20.92%,2.95%,-2.89%
2020-2024,XLB,Sector,Expanded Addition,-1.5%,131,0.14%,0.05%,0.10%,51.91%,11.76%,-9.63%,1.78%,-1.63%,0.19%,0.14%,0.05%,57.25%,19.74%,-13.93%,2.87%,-3.40%,0.44%,0.23%,0.21%,58.02%,19.09%,-20.92%,3.49%,-3.77%
2020-2024,XLB,Sector,Expanded Addition,-2.0%,75,0.08%,0.05%,0.03%,49.33%,11.76%,-9.63%,2.07%,-1.86%,0.00%,0.14%,-0.14%,56.00%,19.74%,-13.93%,3.32%,-4.23%,0.11%,0.23%,-0.13%,57.33%,19.09%,-20.92%,3.91%,-5.00%
2020-2024,XLB,Sector,Expanded Addition,-2.5%,43,0.05%,0.05%,0.00%,46.51%,11.76%,-9.63%,2.63%,-2.19%,-0.51%,0.14%,-0.65%,51.16%,19.74%,-13.93%,3.61%,-4.83%,-0.51%,0.23%,-0.74%,55.81%,19.09%,-20.92%,4.18%,-6.43%
2020-2024,XLB,Sector,Expanded Addition,-3.0%,28,0.48%,0.05%,0.43%,42.86%,11.76%,-9.63%,3.56%,-1.84%,-0.62%,0.14%,-0.76%,46.43%,19.74%,-13.93%,4.32%,-4.90%,-0.75%,0.23%,-0.98%,50.00%,19.09%,-20.92%,5.22%,-6.73%
2020-2024,XLRE,Sector,Expanded Addition,-1.0%,232,-0.05%,0.03%,-0.08%,49.57%,8.78%,-8.59%,1.41%,-1.48%,-0.11%,0.09%,-0.20%,50.00%,22.27%,-16.47%,2.29%,-2.51%,0.11%,0.15%,-0.04%,55.17%,25.77%,-17.63%,2.86%,-3.27%
2020-2024,XLRE,Sector,Expanded Addition,-1.5%,137,-0.09%,0.03%,-0.12%,45.99%,8.78%,-8.59%,1.71%,-1.62%,-0.15%,0.09%,-0.23%,48.18%,22.27%,-16.47%,2.73%,-2.82%,0.03%,0.15%,-0.12%,52.55%,25.77%,-17.63%,3.46%,-3.77%
2020-2024,XLRE,Sector,Expanded Addition,-2.0%,79,-0.03%,0.03%,-0.06%,43.04%,8.78%,-8.59%,2.14%,-1.67%,-0.53%,0.09%,-0.62%,41.77%,22.27%,-16.47%,3.29%,-3.27%,-0.34%,0.15%,-0.49%,50.63%,25.77%,-17.63%,3.87%,-4.66%
2020-2024,XLRE,Sector,Expanded Addition,-2.5%,52,0.21%,0.03%,0.18%,46.15%,8.78%,-8.59%,2.51%,-1.75%,-0.54%,0.09%,-0.63%,38.46%,22.27%,-16.47%,3.94%,-3.34%,-0.01%,0.15%,-0.16%,53.85%,25.77%,-17.63%,4.19%,-4.90%
2020-2024,XLRE,Sector,Expanded Addition,-3.0%,28,-0.07%,0.03%,-0.10%,35.71%,8.78%,-8.59%,3.82%,-2.24%,-0.73%,0.09%,-0.82%,28.57%,22.27%,-16.47%,6.35%,-3.57%,-0.21%,0.15%,-0.36%,46.43%,25.77%,-17.63%,6.01%,-5.60%
2020-2024,SMH,Semiconductors,Expanded Addition,-1.0%,348,0.30%,0.13%,0.17%,54.02%,10.22%,-10.56%,2.08%,-1.81%,0.62%,0.37%,0.25%,54.02%,14.48%,-16.03%,3.57%,-2.92%,0.91%,0.62%,0.29%,59.48%,16.89%,-19.23%,4.14%,-3.95%
